tripduration', 'starttime', 'stoptime', 'start station id', 'start station name', 'start station latitude', 'start station longitude', 'end station id', 'end station name', 'end station latitude', 'end station longitude', 'bikeid', 'usertype', 'birth year', 'gender'
1661,5/2/15 7:00,5/2/15 7:28,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21108,Subscriber,1966,2
2039,5/2/15 10:34,5/2/15 11:08,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21412,Subscriber,1973,2
1917,5/3/15 12:53,5/3/15 13:25,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17546,Subscriber,1981,1
1608,5/3/15 13:08,5/3/15 13:35,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18624,Customer,,0
1841,5/3/15 14:16,5/3/15 14:47,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20143,Customer,,0
1836,5/4/15 7:46,5/4/15 8:17,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20843,Subscriber,1965,1
2115,5/4/15 14:58,5/4/15 15:33,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19727,Customer,,0
1993,5/4/15 15:00,5/4/15 15:33,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18459,Subscriber,1974,1
1213,5/4/15 17:48,5/4/15 18:09,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17009,Subscriber,1972,1
1503,5/5/15 7:41,5/5/15 8:06,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18104,Customer,,0
1321,5/6/15 8:14,5/6/15 8:36,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19265,Subscriber,1977,2
1852,5/6/15 18:05,5/6/15 18:36,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18161,Subscriber,1989,2
1662,5/6/15 18:33,5/6/15 19:01,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20325,Subscriber,1975,2
1635,5/6/15 18:33,5/6/15 19:00,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15719,Subscriber,1975,1
1795,5/7/15 7:41,5/7/15 8:11,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17663,Customer,,0
1744,5/7/15 8:38,5/7/15 9:07,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17092,Subscriber,1965,1
1950,5/8/15 7:41,5/8/15 8:13,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16340,Customer,,0
1647,5/8/15 8:19,5/8/15 8:47,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16484,Subscriber,1977,1
1409,5/8/15 8:31,5/8/15 8:55,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19298,Subscriber,1977,2
1874,5/8/15 12:19,5/8/15 12:51,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20269,Subscriber,1987,1
1725,5/8/15 14:49,5/8/15 15:18,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,17474,Subscriber,1965,1
1624,5/9/15 13:34,5/9/15 14:01,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15833,Subscriber,1961,1
1653,5/9/15 13:34,5/9/15 14:01,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21624,Subscriber,1966,2
2008,5/11/15 9:24,5/11/15 9:58,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21698,Subscriber,1953,1
1746,5/11/15 18:05,5/11/15 18:34,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19496,Subscriber,1975,2
1694,5/11/15 18:06,5/11/15 18:34,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18602,Subscriber,1975,1
1295,5/14/15 17:46,5/14/15 18:07,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20915,Subscriber,1972,1
2025,5/15/15 14:14,5/15/15 14:48,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,16534,Customer,,0
1997,5/15/15 14:14,5/15/15 14:48,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,21291,Customer,,0
2277,5/16/15 14:14,5/16/15 14:52,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15322,Customer,,0
2193,5/16/15 14:15,5/16/15 14:51,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19994,Customer,,0
1627,5/17/15 12:34,5/17/15 13:01,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15941,Subscriber,1987,2
1628,5/17/15 12:34,5/17/15 13:01,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19648,Customer,,0
1776,5/17/15 12:43,5/17/15 13:13,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20352,Subscriber,1952,1
1788,5/17/15 12:43,5/17/15 13:13,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,19834,Subscriber,1954,2
2309,5/18/15 18:38,5/18/15 19:17,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20930,Subscriber,1956,2
1538,5/20/15 7:54,5/20/15 8:20,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,14633,Subscriber,1989,1
1828,5/21/15 13:41,5/21/15 14:12,501,FDR Drive & E 35 St,40.744219,-73.97121214,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20280,Subscriber,1995,1
